job_title,company,location,description,skills_list,date_posted,extracted_skills
Backend Developer,Accenture,Chennai,"Looking for a candidate with experience in Docker, Tableau, Kubernetes, Power BI, Pandas, NumPy, Spark.","Docker, Tableau, Kubernetes, Power BI, Pandas, NumPy, Spark",2024-06-29,"['docker', 'kubernetes', 'pandas', 'numpy', 'tableau', 'power bi', 'spark']"
Machine Learning Engineer,Accenture,Chennai,"Looking for a candidate with experience in Machine Learning, AWS, Java, Spark, Scikit-learn, NLP.","Machine Learning, AWS, Java, Spark, Scikit-learn, NLP",2023-11-27,"['java', 'aws', 'machine learning', 'scikit-learn', 'spark', 'nlp']"
Cloud Engineer,TCS,Pune,"Looking for a candidate with experience in Tableau, Docker, TensorFlow, PyTorch, NLP, Node.js, Kubernetes.","Tableau, Docker, TensorFlow, PyTorch, NLP, Node.js, Kubernetes",2024-06-11,"['docker', 'kubernetes', 'tensorflow', 'pytorch', 'node.js', 'tableau', 'nlp']"
NLP Engineer,IBM,Hyderabad,"Looking for a candidate with experience in Pandas, NumPy, Node.js, Hadoop, AWS.","Pandas, NumPy, Node.js, Hadoop, AWS",2024-11-07,"['aws', 'node.js', 'pandas', 'numpy', 'hadoop']"
Full Stack Developer,Flipkart,Hyderabad,"Looking for a candidate with experience in Docker, NumPy, Spark, Power BI, React.","Docker, NumPy, Spark, Power BI, React",2023-02-06,"['docker', 'react', 'numpy', 'power bi', 'spark']"
DevOps Engineer,Adobe,Pune,"Looking for a candidate with experience in SQL, React, Hadoop, Spark, TensorFlow, PyTorch, Python.","SQL, React, Hadoop, Spark, TensorFlow, PyTorch, Python",2024-10-24,"['python', 'sql', 'tensorflow', 'pytorch', 'react', 'spark', 'hadoop']"
Data Scientist,TCS,Delhi,"Looking for a candidate with experience in PyTorch, Docker, Hadoop, Pandas, Power BI, Spark.","PyTorch, Docker, Hadoop, Pandas, Power BI, Spark",2023-12-08,"['docker', 'pytorch', 'pandas', 'power bi', 'spark', 'hadoop']"
NLP Engineer,Meta,Mumbai,"Looking for a candidate with experience in Pandas, AWS, Machine Learning, SQL, Power BI, Python, Spark.","Pandas, AWS, Machine Learning, SQL, Power BI, Python, Spark",2024-02-12,"['python', 'sql', 'aws', 'machine learning', 'pandas', 'power bi', 'spark']"
DevOps Engineer,Flipkart,Hyderabad,"Looking for a candidate with experience in Pandas, NumPy, React, PyTorch, Node.js.","Pandas, NumPy, React, PyTorch, Node.js",2023-12-10,"['pytorch', 'react', 'node.js', 'pandas', 'numpy']"
Backend Developer,Oracle,Bangalore,"Looking for a candidate with experience in NLP, Power BI, AWS, TensorFlow.","NLP, Power BI, AWS, TensorFlow",2024-02-26,"['aws', 'tensorflow', 'power bi', 'nlp']"
Data Scientist,Accenture,Mumbai,"Looking for a candidate with experience in Machine Learning, Kubernetes, Scikit-learn, React, TensorFlow, Java.","Machine Learning, Kubernetes, Scikit-learn, React, TensorFlow, Java",2024-08-02,"['java', 'kubernetes', 'tensorflow', 'machine learning', 'react', 'scikit-learn']"
Data Analyst,IBM,Pune,"Looking for a candidate with experience in Python, Pandas, Hadoop, Docker.","Python, Pandas, Hadoop, Docker",2024-03-15,"['python', 'docker', 'pandas', 'hadoop']"
Software Engineer,Infosys,Chennai,"Looking for a candidate with experience in Scikit-learn, AWS, Pandas, Java, Node.js.","Scikit-learn, AWS, Pandas, Java, Node.js",2024-09-25,"['java', 'aws', 'node.js', 'pandas', 'scikit-learn']"
Machine Learning Engineer,Oracle,Pune,"Looking for a candidate with experience in Hadoop, Deep Learning, TensorFlow, Machine Learning.","Hadoop, Deep Learning, TensorFlow, Machine Learning",2024-08-27,"['tensorflow', 'machine learning', 'deep learning', 'hadoop']"
Data Scientist,Capgemini,Mumbai,"Looking for a candidate with experience in TensorFlow, Pandas, SQL, PyTorch.","TensorFlow, Pandas, SQL, PyTorch",2023-08-03,"['sql', 'tensorflow', 'pytorch', 'pandas']"
AI Engineer,Oracle,Pune,"Looking for a candidate with experience in NLP, Spark, React, Pandas, Java.","NLP, Spark, React, Pandas, Java",2023-12-16,"['java', 'react', 'pandas', 'spark', 'nlp']"
Backend Developer,Infosys,Bangalore,"Looking for a candidate with experience in NLP, Kubernetes, React, AWS, Python.","NLP, Kubernetes, React, AWS, Python",2024-04-03,"['python', 'aws', 'kubernetes', 'react', 'nlp']"
NLP Engineer,IBM,Mumbai,"Looking for a candidate with experience in Tableau, Deep Learning, Node.js, TensorFlow, Kubernetes, React.","Tableau, Deep Learning, Node.js, TensorFlow, Kubernetes, React",2024-03-16,"['kubernetes', 'tensorflow', 'deep learning', 'react', 'node.js', 'tableau']"
Machine Learning Engineer,Amazon,Hyderabad,"Looking for a candidate with experience in Hadoop, Deep Learning, AWS, Java, Machine Learning, Kubernetes, SQL.","Hadoop, Deep Learning, AWS, Java, Machine Learning, Kubernetes, SQL",2024-06-24,"['java', 'sql', 'aws', 'kubernetes', 'machine learning', 'deep learning', 'hadoop']"
DevOps Engineer,Google,Pune,"Looking for a candidate with experience in Java, Scikit-learn, Python, PyTorch, React, Power BI.","Java, Scikit-learn, Python, PyTorch, React, Power BI",2024-05-14,"['python', 'java', 'pytorch', 'react', 'scikit-learn', 'power bi']"
Data Scientist,Capgemini,Delhi,"Looking for a candidate with experience in Node.js, React, Kubernetes, Scikit-learn, Spark, SQL.","Node.js, React, Kubernetes, Scikit-learn, Spark, SQL",2023-08-08,"['sql', 'kubernetes', 'react', 'node.js', 'scikit-learn', 'spark']"
DevOps Engineer,Amazon,Hyderabad,"Looking for a candidate with experience in Power BI, AWS, Deep Learning, Pandas, React, Kubernetes.","Power BI, AWS, Deep Learning, Pandas, React, Kubernetes",2023-10-23,"['aws', 'kubernetes', 'deep learning', 'react', 'pandas', 'power bi']"
Data Analyst,Oracle,Hyderabad,"Looking for a candidate with experience in Power BI, NumPy, Docker, NLP, Pandas, Tableau.","Power BI, NumPy, Docker, NLP, Pandas, Tableau",2023-09-06,"['docker', 'pandas', 'numpy', 'tableau', 'power bi', 'nlp']"
Data Scientist,TCS,Delhi,"Looking for a candidate with experience in Spark, Deep Learning, Tableau, React, Kubernetes.","Spark, Deep Learning, Tableau, React, Kubernetes",2023-11-07,"['kubernetes', 'deep learning', 'react', 'tableau', 'spark']"
Full Stack Developer,Meta,Hyderabad,"Looking for a candidate with experience in Deep Learning, Power BI, Python, PyTorch, NumPy, Docker, AWS.","Deep Learning, Power BI, Python, PyTorch, NumPy, Docker, AWS",2024-05-03,"['python', 'aws', 'docker', 'pytorch', 'deep learning', 'numpy', 'power bi']"
AI Engineer,Accenture,Delhi,"Looking for a candidate with experience in Kubernetes, PyTorch, Machine Learning, NumPy, Node.js, AWS, Power BI.","Kubernetes, PyTorch, Machine Learning, NumPy, Node.js, AWS, Power BI",2024-11-29,"['aws', 'kubernetes', 'pytorch', 'machine learning', 'node.js', 'numpy', 'power bi']"
Software Engineer,Meta,Chennai,"Looking for a candidate with experience in Kubernetes, Pandas, AWS, Tableau, Machine Learning, PyTorch.","Kubernetes, Pandas, AWS, Tableau, Machine Learning, PyTorch",2023-06-06,"['aws', 'kubernetes', 'pytorch', 'machine learning', 'pandas', 'tableau']"
Data Analyst,Oracle,Delhi,"Looking for a candidate with experience in NumPy, React, Machine Learning, Node.js, NLP, PyTorch.","NumPy, React, Machine Learning, Node.js, NLP, PyTorch",2023-06-18,"['pytorch', 'machine learning', 'react', 'node.js', 'numpy', 'nlp']"
DevOps Engineer,Capgemini,Hyderabad,"Looking for a candidate with experience in TensorFlow, Hadoop, PyTorch, AWS, Spark, Tableau.","TensorFlow, Hadoop, PyTorch, AWS, Spark, Tableau",2023-09-26,"['aws', 'tensorflow', 'pytorch', 'tableau', 'spark', 'hadoop']"
DevOps Engineer,Adobe,Chennai,"Looking for a candidate with experience in NLP, Node.js, Spark, Machine Learning, SQL, React.","NLP, Node.js, Spark, Machine Learning, SQL, React",2024-08-19,"['sql', 'machine learning', 'react', 'node.js', 'spark', 'nlp']"
DevOps Engineer,Accenture,Chennai,"Looking for a candidate with experience in Python, React, Tableau, Node.js, Power BI, Docker, Scikit-learn.","Python, React, Tableau, Node.js, Power BI, Docker, Scikit-learn",2024-08-18,"['python', 'docker', 'react', 'node.js', 'scikit-learn', 'tableau', 'power bi']"
Software Engineer,Google,Delhi,"Looking for a candidate with experience in Deep Learning, AWS, NLP, PyTorch, Machine Learning, Hadoop.","Deep Learning, AWS, NLP, PyTorch, Machine Learning, Hadoop",2024-07-18,"['aws', 'pytorch', 'machine learning', 'deep learning', 'hadoop', 'nlp']"
NLP Engineer,Microsoft,Hyderabad,"Looking for a candidate with experience in Spark, TensorFlow, NumPy, Python, Pandas, Power BI.","Spark, TensorFlow, NumPy, Python, Pandas, Power BI",2024-02-18,"['python', 'tensorflow', 'pandas', 'numpy', 'power bi', 'spark']"
Data Analyst,Amazon,Pune,"Looking for a candidate with experience in Deep Learning, React, Hadoop, Scikit-learn, Spark, PyTorch, TensorFlow.","Deep Learning, React, Hadoop, Scikit-learn, Spark, PyTorch, TensorFlow",2024-02-27,"['tensorflow', 'pytorch', 'deep learning', 'react', 'scikit-learn', 'spark', 'hadoop']"
Machine Learning Engineer,IBM,Chennai,"Looking for a candidate with experience in Python, Machine Learning, Kubernetes, Tableau.","Python, Machine Learning, Kubernetes, Tableau",2023-10-01,"['python', 'kubernetes', 'machine learning', 'tableau']"
Software Engineer,Accenture,Mumbai,"Looking for a candidate with experience in Hadoop, Kubernetes, Tableau, TensorFlow, SQL, Python, Pandas.","Hadoop, Kubernetes, Tableau, TensorFlow, SQL, Python, Pandas",2023-08-27,"['python', 'sql', 'kubernetes', 'tensorflow', 'pandas', 'tableau', 'hadoop']"
Full Stack Developer,Microsoft,Chennai,"Looking for a candidate with experience in TensorFlow, Java, Scikit-learn, Machine Learning, Deep Learning, Docker, PyTorch.","TensorFlow, Java, Scikit-learn, Machine Learning, Deep Learning, Docker, PyTorch",2024-08-26,"['java', 'docker', 'tensorflow', 'pytorch', 'machine learning', 'deep learning', 'scikit-learn']"
Software Engineer,Adobe,Delhi,"Looking for a candidate with experience in React, Tableau, NumPy, Scikit-learn.","React, Tableau, NumPy, Scikit-learn",2024-05-30,"['react', 'numpy', 'scikit-learn', 'tableau']"
Data Analyst,Amazon,Bangalore,"Looking for a candidate with experience in Java, Tableau, SQL, React, TensorFlow, Docker, NLP.","Java, Tableau, SQL, React, TensorFlow, Docker, NLP",2024-01-16,"['java', 'sql', 'docker', 'tensorflow', 'react', 'tableau', 'nlp']"
AI Engineer,Capgemini,Bangalore,"Looking for a candidate with experience in NLP, Kubernetes, Java, Power BI.","NLP, Kubernetes, Java, Power BI",2024-05-24,"['java', 'kubernetes', 'power bi', 'nlp']"
Cloud Engineer,Meta,Chennai,"Looking for a candidate with experience in Java, NumPy, Node.js, NLP, TensorFlow, Pandas.","Java, NumPy, Node.js, NLP, TensorFlow, Pandas",2024-07-14,"['java', 'tensorflow', 'node.js', 'pandas', 'numpy', 'nlp']"
Cloud Engineer,IBM,Mumbai,"Looking for a candidate with experience in TensorFlow, Kubernetes, PyTorch, Python, Java, NLP.","TensorFlow, Kubernetes, PyTorch, Python, Java, NLP",2024-09-29,"['python', 'java', 'kubernetes', 'tensorflow', 'pytorch', 'nlp']"
Cloud Engineer,Google,Pune,"Looking for a candidate with experience in Scikit-learn, Hadoop, React, Kubernetes, Power BI, NumPy, Python.","Scikit-learn, Hadoop, React, Kubernetes, Power BI, NumPy, Python",2024-09-28,"['python', 'kubernetes', 'react', 'numpy', 'scikit-learn', 'power bi', 'hadoop']"
Data Analyst,TCS,Bangalore,"Looking for a candidate with experience in SQL, Python, Power BI, Java, Node.js, NumPy, Kubernetes.","SQL, Python, Power BI, Java, Node.js, NumPy, Kubernetes",2023-07-15,"['python', 'java', 'sql', 'kubernetes', 'node.js', 'numpy', 'power bi']"
NLP Engineer,Flipkart,Pune,"Looking for a candidate with experience in Node.js, Machine Learning, NLP, React, PyTorch.","Node.js, Machine Learning, NLP, React, PyTorch",2024-07-01,"['pytorch', 'machine learning', 'react', 'node.js', 'nlp']"
Data Analyst,Meta,Mumbai,"Looking for a candidate with experience in NumPy, PyTorch, Pandas, Python, Deep Learning.","NumPy, PyTorch, Pandas, Python, Deep Learning",2023-06-26,"['python', 'pytorch', 'deep learning', 'pandas', 'numpy']"
NLP Engineer,Flipkart,Mumbai,"Looking for a candidate with experience in React, Scikit-learn, Python, Machine Learning, Docker, AWS, Spark.","React, Scikit-learn, Python, Machine Learning, Docker, AWS, Spark",2023-11-19,"['python', 'aws', 'docker', 'machine learning', 'react', 'scikit-learn', 'spark']"
DevOps Engineer,Accenture,Delhi,"Looking for a candidate with experience in Spark, TensorFlow, Docker, Power BI.","Spark, TensorFlow, Docker, Power BI",2023-10-06,"['docker', 'tensorflow', 'power bi', 'spark']"
AI Engineer,Oracle,Chennai,"Looking for a candidate with experience in TensorFlow, SQL, Scikit-learn, Pandas, NLP, Docker.","TensorFlow, SQL, Scikit-learn, Pandas, NLP, Docker",2024-08-10,"['sql', 'docker', 'tensorflow', 'pandas', 'scikit-learn', 'nlp']"
AI Engineer,Microsoft,Mumbai,"Looking for a candidate with experience in Power BI, Deep Learning, TensorFlow, SQL, Python, Java, Spark.","Power BI, Deep Learning, TensorFlow, SQL, Python, Java, Spark",2023-06-04,"['python', 'java', 'sql', 'tensorflow', 'deep learning', 'power bi', 'spark']"
Cloud Engineer,IBM,Pune,"Looking for a candidate with experience in AWS, PyTorch, NLP, Spark.","AWS, PyTorch, NLP, Spark",2023-04-02,"['aws', 'pytorch', 'spark', 'nlp']"
Cloud Engineer,Adobe,Mumbai,"Looking for a candidate with experience in Java, Power BI, Spark, Scikit-learn, NLP, Node.js.","Java, Power BI, Spark, Scikit-learn, NLP, Node.js",2023-07-26,"['java', 'node.js', 'scikit-learn', 'power bi', 'spark', 'nlp']"
Machine Learning Engineer,Microsoft,Mumbai,"Looking for a candidate with experience in Power BI, Machine Learning, Docker, PyTorch, NumPy, Tableau, Hadoop.","Power BI, Machine Learning, Docker, PyTorch, NumPy, Tableau, Hadoop",2024-09-27,"['docker', 'pytorch', 'machine learning', 'numpy', 'tableau', 'power bi', 'hadoop']"
NLP Engineer,IBM,Bangalore,"Looking for a candidate with experience in Tableau, PyTorch, AWS, Deep Learning, Machine Learning, TensorFlow.","Tableau, PyTorch, AWS, Deep Learning, Machine Learning, TensorFlow",2024-10-18,"['aws', 'tensorflow', 'pytorch', 'machine learning', 'deep learning', 'tableau']"
DevOps Engineer,Meta,Chennai,"Looking for a candidate with experience in Deep Learning, Power BI, NLP, Scikit-learn, AWS, Java, Hadoop.","Deep Learning, Power BI, NLP, Scikit-learn, AWS, Java, Hadoop",2023-07-28,"['java', 'aws', 'deep learning', 'scikit-learn', 'power bi', 'hadoop', 'nlp']"
AI Engineer,Flipkart,Chennai,"Looking for a candidate with experience in SQL, AWS, Scikit-learn, Node.js, Power BI, Pandas.","SQL, AWS, Scikit-learn, Node.js, Power BI, Pandas",2024-08-01,"['sql', 'aws', 'node.js', 'pandas', 'scikit-learn', 'power bi']"
Data Scientist,Infosys,Bangalore,"Looking for a candidate with experience in Deep Learning, Docker, TensorFlow, React, Machine Learning, SQL.","Deep Learning, Docker, TensorFlow, React, Machine Learning, SQL",2024-05-19,"['sql', 'docker', 'tensorflow', 'machine learning', 'deep learning', 'react']"
DevOps Engineer,Accenture,Pune,"Looking for a candidate with experience in Pandas, Java, Node.js, Scikit-learn, Hadoop, PyTorch.","Pandas, Java, Node.js, Scikit-learn, Hadoop, PyTorch",2023-02-17,"['java', 'pytorch', 'node.js', 'pandas', 'scikit-learn', 'hadoop']"
Data Scientist,Adobe,Mumbai,"Looking for a candidate with experience in Kubernetes, AWS, SQL, Python, Machine Learning.","Kubernetes, AWS, SQL, Python, Machine Learning",2023-09-09,"['python', 'sql', 'aws', 'kubernetes', 'machine learning']"
Cloud Engineer,TCS,Bangalore,"Looking for a candidate with experience in NLP, PyTorch, Hadoop, Tableau, Pandas, Scikit-learn.","NLP, PyTorch, Hadoop, Tableau, Pandas, Scikit-learn",2024-05-22,"['pytorch', 'pandas', 'scikit-learn', 'tableau', 'hadoop', 'nlp']"
Full Stack Developer,Meta,Hyderabad,"Looking for a candidate with experience in NLP, AWS, Scikit-learn, SQL, Node.js, PyTorch.","NLP, AWS, Scikit-learn, SQL, Node.js, PyTorch",2023-11-17,"['sql', 'aws', 'pytorch', 'node.js', 'scikit-learn', 'nlp']"
